Rk,Year,Region,Round,PTS,OPTS,OT?,Diff,Seed,School,OpponentSeed,Opponent,
111,2008,Midwest,First Round,75,69,,6,12,Villanova,5 ,Clemson,
112,2008,East,First Round,86,72,,14,9 ,Arkansas,8 ,Indiana,
113,2008,West,First Round,70,69,OT,1,13,San Diego,4 ,UConn,
114,2008,Midwest,First Round,82,76,,6,10,Davidson,7 ,Gonzaga,
115,2008,West,First Round,101,99,OT,2,12,Western Kentucky,5 ,Drake,
116,2008,Midwest,First Round,83,62,,21,13,Siena,4 ,Vanderbilt,
117,2008,West,First Round,67,62,,5,9 ,Texas A&M,8 ,BYU,
118,2008,Midwest,First Round,80,67,,13,11,Kansas State,6 ,USC,
119,2007,Midwest,First Round,74,64,,10,11,Winthrop,6 ,Notre Dame,
120,2007,Midwest,First Round,72,63,,9,9 ,Purdue,8 ,Arizona,
121,2007,South,First Round,79,77,,2,9 ,Xavier,8 ,BYU,
122,2007,West,First Round,79,77,,2,11,VCU,6 ,Duke,
123,2007,East,First Round,61,49,,12,9 ,Michigan State,8 ,Marquette,
124,2006,Oakland,First Round,77,73,,4,13,Bradley,4 ,Kansas,
125,2006,Oakland,First Round,59,55,,4,9 ,Bucknell,8 ,Arkansas,
126,2006,Washington,First Round,75,65,,10,11,George Mason,6 ,Michigan State,
127,2006,Atlanta,First Round,58,52,,6,10,NC State,7 ,California,
128,2006,Atlanta,First Round,64,63,,1,14,Northwestern State,3 ,Iowa,
129,2006,Oakland,First Round,90,85,,5,10,Alabama,7 ,Marquette,
130,2006,Atlanta,First Round,66,58,,8,12,Texas A&M,5 ,Syracuse,
131,2006,Minneapolis,First Round,82,74,,8,11,Milwaukee,6 ,Oklahoma,
132,2006,Minneapolis,First Round,87,79,,8,12,Montana,5 ,Nevada,
133,2005,Syracuse,First Round,64,63,,1,14,Bucknell,3 ,Kansas,
134,2005,Austin,First Round,60,57,OT,3,13,Vermont,4 ,Syracuse,
135,2005,Syracuse,First Round,64,53,,11,9 ,Iowa State,8 ,Minnesota,
136,2005,Austin,First Round,93,70,,23,9 ,Mississippi State,8 ,Stanford,
137,2005,Syracuse,First Round,75,63,,12,10,NC State,7 ,Charlotte,
138,2005,Chicago,First Round,82,68,,14,11,11 Alabama-Birmingham,6 ,LSU,
139,2005,Chicago,First Round,83,73,,10,12,Milwaukee,5 ,Alabama,
140,2005,Chicago,First Round,61,57,,4,9 ,Nevada,8 ,Texas,
141,2004,St. Louis,First Round,102,100,,2,9 ,Alabama-Birmingham,8 ,Washington,
142,2004,St. Louis,First Round,66,58,,8,12,Pacific,5 ,Providence,
143,2004,East Rutherford,First Round,75,60,,15,12,Manhattan,5 ,Florida,
144,2004,St. Louis,First Round,72,66,,6,10,Nevada,7 ,Michigan State,
145,2003,East,First Round,65,63,OT,2,10,Auburn,7 ,St. Joseph's,
146,2003,East,First Round,47,46,,1,12,Butler,5 ,Mississippi State,
147,2003,Midwest,First Round,60,58,,2,9 ,Utah,8 ,Oregon,
148,2003,South,First Round,80,56,,24,9 ,Purdue,8 ,LSU,
149,2003,West,First Round,84,71,,13,10,Arizona State,7 ,Memphis,
150,2003,West,First Round,79,73,,6,11,Central Michigan,6 ,Creighton,
151,2003,West,First Round,74,69,,5,9 ,Gonzaga,8 ,Cincinnati,
152,2003,Midwest,First Round,84,71,,13,13,Tulsa,4 ,Dayton,
153,2002,Midwest,First Round,83,82,2OT,1,12,Creighton,5 ,Florida,
