Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
2009,First Round,61,59,2,12,Wisconsin,5 ,Florida State
2009,First Round,74,72,2,9 ,Siena,8 ,Ohio State
2009,First Round,79,66,13,9 ,Texas A&M,8 ,BYU
2009,First Round,84,71,13,10,Maryland,7 ,California
2009,First Round,62,59,3,10,Michigan,7 ,Clemson
2009,First Round,76,72,4,12,Western Kentucky,5 ,Illinois
2008,First Round,75,69,6,12,Villanova,5 ,Clemson
2008,First Round,86,72,14,9 ,Arkansas,8 ,Indiana
2008,First Round,70,69,1,13,San Diego,4 ,UConn
2008,First Round,82,76,6,10,Davidson,7 ,Gonzaga
2008,First Round,101,99,2,12,Western Kentucky,5 ,Drake
2008,First Round,83,62,21,13,Siena,4 ,Vanderbilt
2008,First Round,67,62,5,9 ,Texas A&M,8 ,BYU
2008,First Round,80,67,13,11,Kansas State,6 ,USC
2007,First Round,74,64,10,11,Winthrop,6 ,Notre Dame
2007,First Round,72,63,9,9 ,Purdue,8 ,Arizona
2007,First Round,79,77,2,9 ,Xavier,8 ,BYU
2007,First Round,79,77,2,11,VCU,6 ,Duke
2007,First Round,61,49,12,9 ,Michigan State,8 ,Marquette
2006,First Round,77,73,4,13,Bradley,4 ,Kansas
2006,First Round,59,55,4,9 ,Bucknell,8 ,Arkansas
2006,First Round,75,65,10,11,George Mason,6 ,Michigan State
2006,First Round,58,52,6,10,NC State,7 ,California
2006,First Round,64,63,1,14,Northwestern State,3 ,Iowa
2006,First Round,90,85,5,10,Alabama,7 ,Marquette
2006,First Round,66,58,8,12,Texas A&M,5 ,Syracuse
2006,First Round,82,74,8,11,Milwaukee,6 ,Oklahoma
2006,First Round,87,79,8,12,Montana,5 ,Nevada
2005,First Round,64,63,1,14,Bucknell,3 ,Kansas
2005,First Round,60,57,3,13,Vermont,4 ,Syracuse
2005,First Round,64,53,11,9 ,Iowa State,8 ,Minnesota
2005,First Round,93,70,23,9 ,Mississippi State,8 ,Stanford
2005,First Round,75,63,12,10,NC State,7 ,Charlotte
2005,First Round,82,68,14,11,11 Alabama-Birmingham,6 ,LSU
2005,First Round,83,73,10,12,Milwaukee,5 ,Alabama
2005,First Round,61,57,4,9 ,Nevada,8 ,Texas
2004,First Round,102,100,2,9 ,Alabama-Birmingham,8 ,Washington
2004,First Round,66,58,8,12,Pacific,5 ,Providence
2004,First Round,75,60,15,12,Manhattan,5 ,Florida
2004,First Round,72,66,6,10,Nevada,7 ,Michigan State
2003,First Round,65,63,2,10,Auburn,7 ,St. Joseph's
2003,First Round,47,46,1,12,Butler,5 ,Mississippi State
2003,First Round,60,58,2,9 ,Utah,8 ,Oregon
2003,First Round,80,56,24,9 ,Purdue,8 ,LSU
2003,First Round,84,71,13,10,Arizona State,7 ,Memphis
2003,First Round,79,73,6,11,Central Michigan,6 ,Creighton
2003,First Round,74,69,5,9 ,Gonzaga,8 ,Cincinnati
2003,First Round,84,71,13,13,Tulsa,4 ,Dayton
2002,First Round,83,82,1,12,Creighton,5 ,Florida
2002,First Round,76,68,8,11,Southern Illinois,6 ,Texas Tech
2002,First Round,69,61,8,10,Kent State,7 ,Oklahoma State
2002,First Round,93,80,13,12,Missouri,5 ,Miami (FL)
2002,First Round,73,66,7,11,Wyoming,6 ,Gonzaga
2002,First Round,71,69,2,12,Tulsa,5 ,Marquette
2002,First Round,93,89,4,13,UNC Wilmington,4 ,USC
2001,First Round,79,65,14,11,Temple,6 ,Texas
2001,First Round,79,63,16,10,Butler,7 ,Wake Forest
2001,First Round,70,63,7,9 ,Charlotte,8 ,Tennessee
2001,First Round,82,70,12,9 ,Fresno State,8 ,California
2001,First Round,86,85,1,12,Gonzaga,5 ,Virginia
2001,First Round,70,68,2,13,Indiana State,4 ,Oklahoma
2001,First Round,63,61,2,10,Georgetown,7 ,Arkansas
2001,First Round,50,49,1,11,Georgia State,6 ,Wisconsin
2001,First Round,58,57,1,15,Hampton,2 ,Iowa State
2001,First Round,77,68,9,12,Utah State,5 ,Ohio State
2001,First Round,77,73,4,13,Kent State,4 ,Indiana
2001,First Round,66,62,4,9 ,St. Joseph's,8 ,Georgia Tech
2001,First Round,70,68,2,9 ,Missouri,8 ,Georgia
2000,First Round,72,71,1,10,Seton Hall,7 ,Oregon
2000,First Round,77,57,20,11,Pepperdine,6 ,Indiana
2000,First Round,77,66,11,10,Gonzaga,7 ,Louisville
1999,First Round,62,53,9,9 ,Tulsa,8 ,College of Charleston
1999,First Round,59,58,1,10,Miami (OH),7 ,Washington
1999,First Round,72,70,2,9 ,Ole Miss,8 ,Villanova
1999,First Round,43,32,11,12,Missouri State,5 ,Wisconsin
1999,First Round,61,60,1,13,Oklahoma,4 ,Arizona
1999,First Round,58,54,4,10,Purdue,7 ,Texas
1999,First Round,62,58,4,10,Creighton,7 ,Louisville
1999,First Round,76,74,2,14,Weber State,3 ,UNC
1999,First Round,56,53,3,12,Detroit,5 ,UCLA
1999,First Round,75,63,12,10,Gonzaga,7 ,Minnesota
1999,First Round,61,59,2,9 ,New Mexico,8 ,Missouri
1999,First Round,69,61,8,9 ,Oklahoma State,8 ,Syracuse
1998,First Round,51,46,5,10,Saint Louis,7 ,UMass
1998,First Round,66,64,2,10,Detroit,7 ,St. John's (NY)
1998,First Round,96,87,9,12,Florida State,5 ,TCU
1998,First Round,70,69,1,13,Valparaiso,4 ,Ole Miss
1998,First Round,75,72,3,11,Western Michigan,6 ,Clemson
1998,First Round,62,61,1,14,Richmond,3 ,South Carolina
1998,First Round,69,68,1,11,Washington,6 ,Xavier
1998,First Round,82,81,1,9 ,Illinois State,8 ,Tennessee
1998,First Round,82,52,30,10,West Virginia,7 ,Temple
1997,First Round,71,58,13,10,Texas,7 ,Wisconsin
1997,First Round,62,40,22,9 ,Temple,8 ,Ole Miss
1997,First Round,73,70,3,14,Chattanooga,3 ,Georgia
1997,First Round,78,65,13,15,Coppin State,2 ,South Carolina
1997,First Round,71,58,13,10,Texas,7,Wisconsin
1997,First Round,75,66,9,12,College of Charleston,5,Maryland
1997,First Round,80,62,18,9 ,Colorado,8,Indiana
1996,First Round,64,51,13,11,Boston College,6,Indiana
1996,First Round,91,79,12,10,Santa Clara,7,Maryland
1996,First Round,80,76,4,10,Texas,7,Michigan
1996,First Round,86,80,6,12,Arkansas,5,Penn State
